Id,SalePrice
2658,119513.84767695775
2718,170033.17028758602
2414,221609.93894000028
1989,110464.94379853392
625,190474.57802159616
333,81764.89944835476
1327,100603.41031060925
858,153664.38933779346
95,169675.789379154
1568,158389.2663278518
2482,151145.2496153479
1364,120127.52363752094
2584,140445.16124806536
818,268963.14360680187
2673,139555.8705133995
2089,132538.96844957455
1297,177237.64900743516
790,117018.81592743122
2616,200015.03785130914
720,179122.53378787538
222,158212.80284309987
557,131625.2124750207
1148,185067.63258574155
2766,155867.9196233902
534,181065.09658411116
1452,118030.05508887643
630,129450.46041627164
2648,121900.69648446073
125,172021.1373089942
1904,48398.80495991913
1670,101452.24847545922
756,100411.44179966001
717,187355.87034518903
1032,153602.98343663348
852,222244.3734240353
1731,180942.86188104362
2639,119972.87557895493
2071,89579.08656172319
1267,127788.47202226448
1851,202892.4256043795
567,172947.46800396874
2439,209429.14393125084
1898,156750.69287343445
647,155342.05746194843
2256,213650.23643837686
979,93684.7511607033
1444,220303.1395150459
2485,128199.04127080817
157,132886.11345292593
88,116158.4435760556
2003,98356.35908968406
186,186245.76250871824
1425,242449.1962891001
2695,127436.48584074312
738,100858.1331360454
395,156591.93286626352
1353,158062.95165653373
1878,144361.47736972294
390,150215.62594925996
1456,234831.55389867828
1103,318317.9206053816
1387,120189.53721735654
2070,145336.23425943856
1199,162674.58815743463
2479,188929.5562830875
501,329638.69449161907
2362,86055.95092694194
1718,229094.9601246956
2188,105539.19282260649
1483,161428.10951997683
2557,100393.0144281904
437,350359.82331461314
2224,215079.4043386963
1628,164418.05407663225
397,141899.21256508116
587,197540.2409298617
971,141925.49846045597
2611,140756.95948682487
1887,96074.09023676408
2399,358134.9389514013
2148,202639.81312135272
304,138534.23187370363
1997,139400.5626993276
2817,120702.00306284134
1431,227976.83037589255
427,348933.0490649595
263,123464.15890540046
598,177190.6993792781
2895,223852.1962540502
687,136192.5807426407
1822,131876.41004126566
2191,99116.93831480983
179,113807.57094037856
1009,232765.37283768915
2010,129549.48316647712
1991,133614.65887823273
1411,200645.45698112142
1721,244979.1617423103
1144,201453.72474454137
593,207644.41530905807
575,315887.41479588265
1249,160588.77700323155
1604,122448.3199999819
1064,414621.98775118124
1923,148434.04681143365
1988,111339.81882058813
2325,174792.8955020707
114,199409.3696506874
2700,167842.62919396363
217,126509.83558563472
343,185700.99453508237
386,215410.79101562354
2005,111193.9349883324
2908,132415.56936566866
1814,240412.01464497566
2446,426776.7530205393
208,143624.89978312427
1679,108210.41570177562
822,312490.9771641537
6,195926.07925789687
1781,364575.41618652485
2397,313078.019115772
2340,317585.48503658234
1618,162758.33054950522
2843,161348.2909512918
1061,358542.654929546
2786,122470.24438962035
1935,133010.8967258923
1341,126266.4245630974
521,261747.18581589998
2136,145763.60676209303
996,216902.77294877157
227,150833.06019412755
135,166427.66600822285
1167,161091.23429970813
294,230646.15869612197
1776,202700.39399077746
540,161698.80292259823
1717,237336.02573387203
2303,123231.74376930608
116,188523.21770110694
127,147874.05890012463
1371,121949.61144918622
1014,151041.14423423808
1507,115459.77373571617
702,133079.44186563176
750,146631.83241311437
261,136786.677038662
1559,65509.74789463043
577,216228.61389875045
2812,190788.61521118044
2080,150665.75644480047
1368,114727.27474822843
2376,121658.80876651732
659,121467.7817117963
1235,136661.93399695144
332,70174.22184588171
1917,142192.46682262566
2094,240269.00456280593
1460,259657.66850638716
1471,234597.84432855534
1509,115237.37689196561
1922,126480.49332124801
433,474491.2375749472
460,262129.5112058945
1116,239748.3458757821
1137,159172.15830786672
53,170455.52581863338
2354,263789.2019782118
1475,194396.16540787317
1761,393926.059120127
842,143870.5717260729
2739,191335.20264001004
2509,152869.39554224434
1007,192059.80631378014
2610,179220.20241105478
1952,92392.34970652548
2719,168816.15783995792
2921,76444.58880821076
1966,152655.14764103762
292,121610.66191376002
1204,186456.87720813788
1829,265903.2692963926
2419,193733.22340508588
391,157666.1157802264
798,99387.25999755973
481,205895.90460353252
193,204490.88306924846
555,122137.01163307391
899,66103.93818164569
2357,190866.1099568932
328,139286.29813099344
1356,103226.92103667704
1154,111515.93826456864
1730,194849.9652315416
2249,171156.07755347906
1119,293367.63544080115
2856,142292.01438042105
1394,118159.07996401246
2587,120274.52608504139
61,326458.9459626258
2661,182616.70563399498
2711,115257.5090446605
1147,176144.13789260402
757,121158.01531076818
2623,112633.92722364647
2378,149656.19144709758
1413,141051.06919879396
1722,224876.8759301209
1112,239566.19537567784
1623,192309.48285736586
1201,206589.01688295123
1513,120809.57942700273
957,182233.09165666276
1171,240037.65856499554
1145,190948.83796415685
2726,212677.23344000336
703,142419.76601625935
760,124041.86613300233
1964,160360.6887505879
2512,183572.20267421447
159,118560.36241916
1281,173891.67104003046
468,192311.91495527085
290,126291.69634093484
665,109479.85457837266
1463,242822.52803108885
1792,218764.37782905804
923,159154.74537367345
500,290611.17843840114
1408,167582.04715962542
331,76803.71749601483
170,152603.88127006893
2192,98492.0032525973
2571,197512.50379649037
2314,170119.2047063004
2647,79510.12098361389
422,404196.8321505319
2457,335713.3642346254
1838,199445.86326579246
2805,244727.4890425625
1645,156537.96772304783
1711,307283.7185358576
2825,238940.86321417388
322,317326.6868280849
2103,260485.043279277
342,106909.88522351916
600,128227.51358785003
488,173402.85013589897
1725,294743.52289288194
2246,300853.8881541395
2847,142544.1252172719
806,226940.2204574152
530,237220.4056101365
963,187566.65161755876
2678,108686.18804239991
171,87133.83982061736
2401,401802.7695518145
805,225757.96737411237
2259,237061.95959088602
1748,193333.92193910584
1361,138737.4555793847
1677,109114.95728734441
1406,169755.85559403925
2322,245920.93650292946
688,148858.6848749139
143,135477.48383518096
804,206672.16520370814
1214,212791.66718598697
2828,145335.1651506906
1999,183272.13243709793
2467,209997.60618992435
2665,159033.27424039925
1538,302578.1199811512
398,125184.94930668127
2822,144735.13701191993
2157,139449.87086001397
1856,208281.31759780983
1269,111220.62368484566
2570,104237.76696376555
2320,245170.31922642744
1517,130739.6727564948
2304,127387.0251717756
1312,92976.38789063122
2012,134418.07382984713
506,254836.50430952347
2865,206017.86417505352
2367,95015.71109437481
554,87800.62237881997
238,133963.54156166632
1954,100476.88980916346
2488,118248.93923513351
2291,76565.95166036769
1969,117146.26539161637
2725,170019.2888567686
1482,147876.58967826862
2763,205328.16461909705
503,271935.00570278656
1584,250673.94994823198
1531,169475.79075575125
2210,186917.01507632592
459,315505.2657866577
556,131553.9896380537
1347,132975.28581300104
1290,68998.53616806548
1388,99421.56752874627
1571,287929.05459344597
2754,218206.14686638248
765,143030.0885881198
2494,125131.96986060412
2870,236127.91303753614
7,236530.23503242806
1114,240987.30498923775
2418,266200.21415997273
291,119124.63574982861
18,354442.6429272705
39,366958.46622709534
1001,270028.0998722922
2442,224622.79451671388
616,131864.27921106096
2680,79210.90687852491
1414,132074.15512408677
289,159956.85096206883
40,266735.9564950844
860,137296.12381643042
409,118534.27015840907
673,155234.91968801164
2427,195071.19229316065
2036,202943.41121787
2564,141259.93373107663
642,165281.32577699845
1008,176006.81989138562
1908,127857.28720891624
2519,199140.50532068146
1369,86016.21697376377
2855,150274.55667210263
712,77788.5226424899
1943,123079.63448474807
1958,120765.52624858313
107,170210.66636420944
2295,200455.94731576074
704,97502.00542064488
676,158197.30628254093
259,185511.13901152223
93,283914.2105909025
106,240970.91256654158
2315,177914.83310627504
1050,93993.99888579141
1095,206378.3443446151
2709,157675.89919215612
758,148691.84350073495
1496,158410.0671212368
2370,110061.8909958584
2458,289514.19600295357
2733,145231.7702605978
161,228652.0304709517
726,157339.10572453268
845,213834.32696322066
947,255323.8687169653
2232,118448.37782006746
2563,131079.90378878807
2299,138695.67433261574
211,79129.96793631361
605,164893.17500562218
1478,195160.72178564762
2247,287071.6506692345
2274,247473.94918392965
2869,226607.3494456953
967,207148.8207111864
2656,124952.15403425688
667,204592.39449206862
1042,104031.89090035914
2023,155624.15107929485
2447,356781.33513414446
2055,133011.59243699018
2275,299446.98740820953
2204,179764.55956950982
1563,289839.36593089066
483,230796.8649905812
796,127274.78652928525
1526,158279.53949982108
2042,124166.3650164599
442,331888.1807543043
1693,324008.35821302654
1468,223398.3487988798
1430,205006.98809403734
2605,156073.31533102182
1529,180469.29003469073
335,139310.11707496975
1287,117841.84606090035
31,95332.05241622463
1785,335462.44950332155
82,166086.17954592858
2620,129492.60937911345
252,181891.31700182482
721,52987.23739013569
2165,200299.66960024094
2316,201153.4493294991
775,142659.79807575792
1558,104191.00111445776
17,201242.11488381188
1022,223061.42412086762
925,137492.35186051542
438,289474.2114846351
1270,136976.79461138777
1272,123924.40272129724
215,141866.2339967088
266,234910.7737903475
2402,299469.85700454656
1250,131700.33425579342
1984,118117.76449390916
1279,142795.62482720873
377,234049.98306967554
1252,123131.97525275091
2156,251739.9989270788
499,325849.6826319044
1374,122181.74049676713
2898,226679.19668039394
401,107768.91319621631
2721,163820.37574584066
2078,247542.5410418198
2589,118346.76799396578
1946,225914.1286567858
1334,117074.66272357997
2781,222531.262152294
431,378856.70149305515
576,200738.44962506986
1474,210501.79658450544
2254,130766.1477367105
2155,275228.5607764124
885,111359.66187317944
643,144728.29234976426
1944,129230.38998239653
480,202133.5124209348
2845,107015.66961385593
2387,320923.47036112926
2407,223705.4276979283
2527,182731.0425911
2514,151361.1139076108
629,138450.83719966162
80,195969.77592779358
1876,143112.27539977766
1546,111348.30273899446
2518,189877.87145892956
2347,151778.81843789268
783,211149.8373025647
1322,43322.91295841776
194,90330.427398186
1770,304932.57149810577
2143,155807.42721667403
1229,240967.97797524848
511,276037.0711506101
46,243300.7342707862
1348,151995.94292827707
2465,209120.2878019012
387,230701.19438965712
873,228249.0297261076
1918,118171.70822964312
2764,224604.94641737142
2184,116495.42017847451
934,137214.45718158066
1920,121857.90936769385
2631,161584.9234991589
1768,494034.5726098763
2040,125808.87301875086
1749,220230.41419936897
834,260586.43585182173
1457,223932.2312121694
79,102727.50764525266
2302,129374.56410421291
1817,152120.9312039251
2755,244118.28601678
359,180556.32971878973
